Webpage,Organization,Camp Name,Camp Description,Start Age,End Age,Start Grade,End Grade,Start Date,End Date,Start Time,End Time,Pre/After Care,Registration,Cost,Location,City,Notes
https://www.burlingtonfc.org/#/,Burlington FC Summer Soccer Camp,,,7,14,2,8,,,,,,,,,Burlington,
https://summerbtvparks.com/,Burlington Parks & Rec,Basketball Camp,,5,8,K,2,6/16/2025,6/20/2025,09:00 AM,12:00 PM,,,$125,Champlain Elementary,Burlington,"BPRW Recreation Programs Refund Policy:  
Cancellations made more than 30 days prior to registration will be subject to a 15% administrative fee and card transaction fees will not be refunded.  Refunds will not be provided with less than 30 days notice. Medical refund requests require a written note from a doctor."
https://summerbtvparks.com/,Burlington Parks & Rec,Tennis Camp,,6,9,1,3,6/16/2025,6/20/2025,08:00 AM,12:00 PM,,,$177,Leddy Park,Burlington,
https://summerbtvparks.com/,Burlington Parks & Rec,Talent Skate Camp,,5,14,K,8,6/16/2025,6/20/2025,09:00 AM,12:00 PM,,,$191,"""A_Dog"" Skate Park",Burlington,
https://summerbtvparks.com/,Burlington Parks & Rec,Basketball Camp,,7,13,2,7,6/16/2025,6/20/2025,09:00 AM,12:00 PM,,,$125,Edmunds Middle School,Burlington,
https://summerbtvparks.com/,Burlington Parks & Rec,Ultimate Camp,,10,15,5,9,6/16/2025,6/20/2025,09:00 AM,12:00 PM,,,$187,Leddy Park,Burlington,
https://summerbtvparks.com/,Burlington Parks & Rec,Talent Skate Camp,,5,14,K,8,6/23/2025,6/27/2025,09:00 AM,12:00 PM,,,$191,"""A_Dog"" Skate Park",Burlington,
https://summerbtvparks.com/,Burlington Parks & Rec,Rise & Shine 2025,,6,12,1,6,6/23/2025,6/27/2025,09:30 AM,12:00 PM,,,176 .80,Leddy Park,Burlington,
https://summerbtvparks.com/,Burlington Parks & Rec,Beginner Volleyball Camp,,11,15,6,9,6/23/2025,6/27/2025,09:00 AM,12:00 PM,,,$120,Edmunds Middle School,Burlington,
https://summerbtvparks.com/,Burlington Parks & Rec,Tennis Camp,,10,15,5,9,6/23/2025,6/27/2025,08:00 AM,12:00 PM,,,$177,Calahan Park,Burlington,
https://summerbtvparks.com/,Burlington Parks & Rec,Mini Volts Soccer,,4,6,,K,6/30/2025,7/3/2025,08:30 AM,12:00 PM,,,$239,Burlington,Burlington,
https://summerbtvparks.com/,Burlington Parks & Rec,VT Voltage Soccer Camp,,7,14,2,8,6/30/2025,7/9/2025,08:30 AM,12:00 PM,,,$239,Leddy Park,Burlington,
https://summerbtvparks.com/,Burlington Parks & Rec,Maven Skate Camp Session 1,,5,14,K,8,7/7/2025,7/11/2025,09:00 AM,12:00 PM,,,$208,Burlington,Burlington,
https://summerbtvparks.com/,Burlington Parks & Rec,Rise & Shine 2025,,6,12,1,6,7/7/2025,7/11/2025,09:30 AM,12:00 PM,,,176 .80,Leddy Park,Burlington,
https://summerbtvparks.com/,Burlington Parks & Rec,Disc Golf Camp,,8,15,3,9,7/7/2025,7/11/2025,09:00 AM,12:00 PM,,,$172,Schifilliti Park,Burlington,
